filename,entry-date,entry-by,layout,entry-type,image,title,source-url,source,copyright,summary,content,FEATURES:,Boerhaave,COGWEB,Chinese,LSTM,Leiden,PGM,RNN,Ruysch,actors,aesthesis,agency,algorithm,analysis,anatomical,anatomy,androgynous,architecture,archive,artificialia,axis,black-box,body,botanical,brain,categories,categorization,channel,character recognition,chinese,classification,clustering,cnn,codes,cognition,collecting,collection,collections,colonialism,commodification,concept,conceptual-clustering,convolutional neural network,cost,counting,cut,cuts,cutting,datasets,demonstration,diagram,dimensionality,disgust,dissection,distance,domestication,elegance,epistemology,error,euclidean,evaluation,eye,figures,finger,forecasting,forensics,frame,freakish,geometry,gesture,gestures,gradient descent,graph,graphs,grouping,hacking,hand,hand writing,hands,hands-on,handwriting,hardware,history,human,human body,imagination,imperfect,inscription,instruments,joint,kmeans,knowledge,labeling,landmark,learning,location,machine learning,machines,materiality,meaning,measurement,memory,mnist,model,models,monsters,muscles,mystical,mythological,naturalia,nerves,nervous system,network,networks,neural networks,neural-anatomy,neuron,nonlinearity,observation,offline,online,ontologies,ontology,ontology-building,optimization,orientation,orthogonality,parallel,pca,perception,perceptron,perfection,performance,planes,poetic,position,prediction,preparation,preparations,projection,proportion,proportions,psychology,python,races,representation,representations,rhetoric,rnn,segments,selection,sensory experience,sensory perception,similarity,skeleton,skin,skull,skulls,space,sparseness,spectacle,spectators,speech,standard,statistic-ontology,statistical,statistical-ontology,svm,symbols,tacit,taxonomy,theatre,time-series,timeseries,tools,topological,training,treatise,trial,truth,type,typography,unsupervised,vision,visualization,wellcome,word2vec,writing,zodiac
adding-concepts-to-existing-classification-tree.md,2019-06-21,Jonathan Reus,image,image,p/COGWEB-adding-concepts.png,Adding Mammal and Bird to an existing Classification Tree,https://link.springer.com/article/10.1023%2FA%3A1022852608280,"Fisher, Douglas H. ""Knowledge acquisition via incremental conceptual clustering."" Machine learning 2.2 (1987) 139-172.",Kluwer Academic Publishers-Plenum Publishers,"Adding 'mammal' and 'bird' to an existing classification tree in the COGWEB algorithm. Each node represents an object class, Ci, that is summarized by a set of probabilities, P(value|Ci)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0.841,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aesthesis-elegant-anatomy.md,2018-10-14,Jonathan Reus,text,,,The Concept of Aesthesis,https://brill.com/view/title/24846,"Elegant Anatomy, The Eighteenth-Century Leiden Anatomical Collections. Marieke M. A. Hendriksen (2015)",,"Excerpt on Aesthesis and the epistemology of 18th century anatomical research. From Elegant Anatomy, Marieke M. A. Hendriksen","...the answer to many of the why-questions evoked by the materiality of the eighteenth-century Leiden anatomical preparations—most importantly, why do they look so distinctly different than modern anatomical preparations?—lies in aesthesis. Aesthesis is a term that occurs in eighteenth-century texts and dictionaries, albeit rather sparingly. It is not usually found in general and art dictionaries before the nineteenth century, but two examples appear in medical and philosophical dictionaries. In Barrow’s 1749 Dictionarium Medicum Universale: Or, a New Medicinal Dictionary, ‘aesthesis’ is explained as “to be sensible of, sensation, or the faculty or power of sensation.” The same definition is given in James’s 1740s medical dictionary. These appearances indicate that aesthesis was deemed specifically relevant in a medical context in the eighteenth century. Therefore aesthesis is used as an analytic category here, in search for a concept that can define a particular epistemic culture. It is very useful as it is a contemporary, eighteenth-century term denoting a reliance on the senses.",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aesthesis-negativo.md,2018-11-6,Joana Chicau,text,,,An Aesthesis ex-Negativo Emerged,https://brill.com/view/title/24846,"Elegant Anatomy, The Eighteenth-Century Leiden Anatomical Collections. Marieke M. A. Hendriksen (2015)","2015 by Koninklijke Brill nv, Leiden, The Netherlands.","Excerpt from ""Beautiful Monsters, How Deformity Can Be Elegant"" chapter 5 at Elegant Anatomy, Marieke M. A. Hendriksen","So far, the preparations from the eighteenth-century Leiden anatomical collections appear to be predominantly examples of normal - or even perfect - human anatomy, prepared in such a way that they convey the aesthesis of anatomy. The result of particular yet tacit ideas of beauty, perfection and elegance, most of the body parts were chosen for these preparations because they were already in themselves perfect specimens: there are no obvious pathologies, and most of them were (part of) young, lean, healthy bodies.
(...)
Yet ultimately, severed body parts on the brink of decay - the ultimate emblem of disgust — are the constituents of this collection, and as in the course of the eighteenth-century research into pathology and abnormalities became increasingly important, an aesthesis ex negativo emerged: an aesthesis of the ugly and the imperfect.",,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aim-handwriting-datasets.md,2019-07-25,Jonathan Reus,image,image,a/aim-on-line-handwriting-database-processed-strokes.png,AIM Online Handwriting Dataset Sample,http://www.fki.inf.unibe.ch/databases/iam-on-line-handwriting-database,"Liwicki, M. and Bunke, H. IAM-OnDB - an On-Line English Sentence Database Acquired from Handwritten Text on a Whiteboard. 8th Intl. Conf. on Document Analysis and Recognition, 2005, Volume 2, pp. 956 - 961",This database may be used for non-commercial research purpose only.,"The IAM On-Line Handwriting Database (IAM-OnDB) contains forms of handwritten English text acquired on a whiteboard. It can be used to train and test handwritten text recognizers and to perform writer identification and verification experiments.
The database contains forms of unconstrained handwritten text, acquired with the E-Beam System. The collected data is stored in xml-format, including the writer-id, the transcription and the setting of the recording. For each writer the gender, the native language and some other facts which could be useful for the analysis are stored in the database.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.231,0,0.998,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis-of-womans-handwriting-howard.md,2019-07-30,Jonathan Reus,image,image,h/handwriting-sample-graphology-howard.gif,Analysis of Woman's Handwriting - Howard,https://archive.org/details/graphologyhowtor00howa/,"Howard, Clifford. Graphology; Or, How to Read Character from Handwriting. American Institute of Graphology, 1903.",Internet Archive Open Use,Analysis of a woman's handwriting from Clifford Howard's 1922 printing of Graphology.,,,0,0,0,0,0,0,0,0,0,0,0,0,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anatomical-man-zodiac.md,2019-09-24,Joana Chicau,image,image,wiki/Anatomical_Man.jpg,L'Homme anatomique ou L'Homme zodiacal. Limbourg brothers  (fl. 1402–1416),https://commons.wikimedia.org/wiki/File:Anatomical_Man.jpg,,Public Domain,"Look at the signs of the zodiac. They correspond to each part of the body, starting with Pisces, the feet, and working up their way to the head, with Aries, the ram, that has sacred connotations. In each top corner are painted the arms of the Duke of Berry. Each area is complemented by four Latin inscriptions describing the properties of each sign according to the four complexions (hot, cold, wet or dry), the four temperaments (choleric, melancholic, sanguine and phlegmatic) and the four cardinal points - 'Aries, Leo and Sagittarius are warm and dry, choleric, masculine, Eastern' in the upper left; 'Taurus, Virgo and Capricorn are cold and dry, melancholy, female, Western' in the upper right; 'Gemini, Aquarius and Libra are hot and humid, sanguine, masculine, Southern' in the lower left; 'Cancer, Scorpio and Pisces are cold and wet, phlegmatic, feminine, Northern' in the lower right.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.89,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97
anatomical-theatre-leiden-engraving.md,2018-10-14,Jonathan Reus,image,,poster/anatomical-theatre-leiden1.gif,Copperplate Engraving of Anatomical Theatre Leiden (1615),,"Wolf-Heidegger, Gerhard, and Anna Maria Cetto. Die anatomische Sektion in bildlicher Darstellung&#58; von G. Wolf-Heidegger und Anna Maria Cetto. Karger, 1967.",,"Theatrum anatomicum in Leiden. Anatomical lecture at the time of Peter Pauw. Copperplate engraving, probably 1615",,,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babylonian-enscription-of-sheep-liver.md,2018-10-14,Jonathan Reus,image,image,poster/sheep-liver-inscription-babylonian.png,Babylonian Inscription on Sheep Liver,https://scielo.conicyt.cl/pdf/ijmorphol/v25n1/art02.pdf,"Schumacher, Geert-Horst. Theatrum Anatomicum in history and today. Int. J. Morphology, 25(1):15-32, 2007",,Liver of a sheep. Babylonian model of terracotta with inscriptions from 18th to 19th century B.C.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0
body-measurement-maijing-middle-finger.md,2019-09-24,Joana Chicau,image,image,wc/Canon-Pulse.jpg,Proportional Body Measurement -  Maijing Tuzhu - Middle Finger,https://wellcomecollection.org/works/skd8xsg7,,Creative Commons Attribution (CC BY 4.0),"Illustration from Maijing Tuzhu (Canon of the Pulse, illustrated and annotated), author unknown, published in 1901 (27th year of the Guangxu reign period of the Qing dynasty).",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0.89,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body-measurements-chinese-woodcut.md,2019-09-24,Joana Chicau,image,image,wc/Body-Measurements-Chinese-Woodcut.jpg,"Body measurements, back view, Chinese woodcut, 1443",https://wellcomecollection.org/works/j8r5mg4s,,Creative Commons Attribution (CC BY 4.0),"Woodcut from Tong ren shu xue zhen jiu tu jing (Illustrated Manual of Acupoints on the Bronze Man) by Wang Weiyi, published in 1443 CE (8th year of the Zhengtong reign period of the Ming Dynasty), illustrating the system of proportionate body measurements. This illustration consists of a simple outline drawing of a human body, viewed from the back. Captions on the image indicate the distances between various landmarks on the surface of the body, as an aid in establishing the location of acupoints and the paths of the channels at the back of the body. The units of measurement are the chi and cun, the length of the cun being based on the proportions of the individual's body, i.e. 1 cun = the distance from the base of the middle finger to the end of the crease of the middle joint. 10 cun = 1 chi. See 'Lettering' for further details.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0.89,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0
